time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-07-31T19:00:06.561Z,39.4347,-119.7375,6.7,3.1,ml,48,27.03,0.05,0.232,nn,nn00553959,2016-10-19T04:51:59.040Z,"11km S of Sparks, Nevada",earthquake,0.62,0.8,0.25,22,reviewed,nn,nn
2015-12-23T07:05:36.281Z,39.4362,-119.7835,9.6,3.1,ml,31,45.6,0.03,0.1449,nn,nn00523693,2016-03-12T02:29:22.040Z,"10km SSE of Reno, Nevada",earthquake,0.53,0.6,0.19,11,reviewed,nn,nn
2015-12-23T06:46:07.342Z,39.4309,-119.7845,9.7,4.4,ml,30,47.24,0.024,0.1587,nn,nn00523696,2016-08-04T05:16:26.377Z,"11km SSE of Reno, Nevada",earthquake,0.63,0.6,0.23,8,reviewed,nn,nn
2015-12-23T06:45:49.315Z,39.4308,-119.7844,9.7,3.5,ml,29,47.24,0.024,0.1304,nn,nn00526746,2016-03-22T21:32:32.236Z,"11km SSE of Reno, Nevada",earthquake,0.54,0.6,0.44,11,reviewed,nn,nn
2015-12-23T06:36:30.079Z,39.4282,-119.7812,9.4,3,ml,26,43.62,0.024,0.1119,nn,nn00523682,2016-03-12T02:29:22.040Z,"11km SSE of Reno, Nevada",earthquake,0.53,0.6,0.31,11,reviewed,nn,nn
2015-12-23T06:22:36.114Z,39.4332,-119.7886,9.4,3.2,ml,29,45.06,0.026,0.1453,nn,nn00523675,2016-08-04T05:12:03.508Z,"10km SSE of Reno, Nevada",earthquake,0.64,0.7,0.34,11,reviewed,nn,nn
2015-10-28T14:22:23.527Z,39.0892,-119.6352,10.5,3,ml,31,73.02,0.028,0.1704,nn,nn00516642,2016-01-22T23:41:21.040Z,"8km ENE of Johnson Lane, Nevada",earthquake,0.63,0.7,0.27,17,reviewed,nn,nn
2015-07-19T01:36:06.880Z,39.4526667,-120.28,9.9,3.19,mw,22,42,0.02042,0.07,nc,nc72488831,2015-10-14T21:05:43.040Z,"16km NNW of Truckee, California",earthquake,0.26,0.5,,3,reviewed,nc,nc
2015-04-08T05:06:43.720Z,39.3606667,-120.0208333,1.54,3.41,mw,17,75,0.1146,0.05,nc,nc72428161,2016-08-04T05:15:15.703Z,"12km NNW of Incline Village, Nevada",earthquake,0.25,3.17,,5,reviewed,nc,nc
2014-09-11T00:08:42.900Z,39.2353,-120.1012,6.3,3.4,Mw,21,61.2,0.08084838,0.05,nc,nc72296116,2016-03-11T22:49:07.672Z,"4km W of Tahoe Vista, California",earthquake,0.2,0.8,,3,reviewed,nc,nc
2014-07-08T00:16:47.574Z,39.1993,-119.7298,9.652,3.2,ml,35,63.74,0.013,0.1632,nn,nn00451213,2015-01-28T13:39:59.373Z,"5km NE of Carson City, Nevada",earthquake,0.7695,0.6105,0.25,9,reviewed,nn,nn
2014-01-30T11:22:58.790Z,39.4211,-119.5656,9.264,3.1,ml,,82,0.142,0.63,us,usc000mdjl,2015-01-30T16:10:19.668Z,"14km NNE of Virginia City, Nevada",earthquake,,2.9,,,reviewed,nn,nn
2014-01-30T10:32:02.220Z,39.4189,-119.5759,12.082,3.2,ml,,122,0.136,0.83,us,usc000mdit,2015-01-29T22:14:05.297Z,"13km NNE of Virginia City, Nevada",earthquake,,4.3,,,reviewed,nn,nn
2014-01-30T07:00:00.779Z,39.4211,-119.5675,8.8764,3.22,ml,30,81.88,0.141,0.1249,nn,nn00436637,2015-01-28T22:41:05.698Z,"14km NNE of Virginia City, Nevada",earthquake,0.6958,1.4855,,9,reviewed,nn,nn
2014-01-28T16:27:30.450Z,39.424,-119.5669,9.343,3.2,ml,,81,0.141,0.48,us,usb000m9pz,2015-01-29T00:26:05.284Z,"14km NNE of Virginia City, Nevada",earthquake,,7.6,,,reviewed,nn,nn
2013-08-27T00:51:43.827Z,39.6696,-119.6841,13.9,4.2,ml,38,59.04,0.137,0.1097,nn,nn00421303,2016-05-17T18:29:28.211Z,"3km NE of Spanish Springs, Nevada",earthquake,0.55,0.7,0.22,8,reviewed,nn,nn
2012-10-03T19:51:08.430Z,39.724,-119.436,10.9,3.4,mwr,81,26.4,,,us,usp000jtg9,2015-01-29T22:53:07.398Z,"Nevada",earthquake,,,,,reviewed,ren,us
2012-06-23T03:51:57.290Z,39.318,-119.99,6.065,4.2,mh,7,222,1.193,0.19,ci,ci11126058,2016-03-12T03:20:53.638Z,"8km N of Incline Village, NV",earthquake,99,31.61,,0,reviewed,ci,ci
2011-12-23T05:30:29.250Z,39.413,-120.125,6.7,3.1,ml,52,42.7,,,us,usp000jchu,2015-01-28T10:45:28.654Z,"Northern California",earthquake,,,,,reviewed,ren,ren
2011-07-14T07:52:54.130Z,39.3143333,-120.0081667,5.665,3,mh,2,271,1.18,0.08,ci,ci15016988,2016-03-10T10:01:40.040Z,"8km NNW of Incline Village, NV",earthquake,2.4,31.61,,0,reviewed,ci,ci
2011-06-22T20:00:15.740Z,39.324,-119.987,6.3,3.1,ml,5,161,,,us,usp000j3k3,2015-01-30T02:30:32.241Z,"Nevada",earthquake,,,,,reviewed,ren,ren
2011-06-22T19:59:50.940Z,39.318,-119.978,7.1,3.3,ml,9,91.3,,,us,usp000j3k2,2015-01-29T16:55:31.666Z,"Nevada",earthquake,,,,,reviewed,ren,ren
2011-05-18T15:55:50.670Z,39.774,-119.908,8.6,3,ml,24,34.6,,,us,usp000j1su,2015-01-30T07:42:40.278Z,"Nevada",earthquake,,,,,reviewed,ren,ren
2010-12-29T01:53:33.420Z,39.232,-120.102,6.7,3.3,ml,15,62.2,,,us,usp000hs7j,2015-01-28T15:41:31.462Z,"Northern California",earthquake,,,,,reviewed,nc,nc
2010-12-18T17:46:08.830Z,39.631,-119.993,7.1,3,ml,4,133.7,,,us,usp000hr3w,2015-01-30T02:30:21.363Z,"Nevada",earthquake,,,,,reviewed,ren,ren
2010-11-28T09:47:38.210Z,39.426,-119.866,12.5,3,ml,6,103.6,,,us,usp000hq8k,2015-01-28T19:59:21.664Z,"Nevada",earthquake,,,,,reviewed,ren,ren
2010-10-18T03:44:43.600Z,39.341,-120.089,6.303,3.1,mh,7,191,1.325,1.43,ci,ci14862684,2016-03-10T18:52:02.123Z,"8km E of Truckee, CA",earthquake,8.59,28.23,,0,reviewed,ci,ci
2010-02-26T05:51:17.060Z,39.819,-120.05,12,3.1,ml,7,193.3,,,us,usp000h7q2,2015-01-31T00:22:36.874Z,"Northern California",earthquake,,,,,reviewed,ren,ren
2009-12-23T04:59:54.211Z,39.3133,-119.9949,7.8,3.5,ml,37,44.4,0.038,0.1356,nn,nn00432465,2016-03-22T22:02:26.501Z,"7km NNW of Incline Village, Nevada",earthquake,0.6,1.2,0.48,6,reviewed,nn,nn
2008-11-13T07:42:08.300Z,39.547,-119.94,5.4,3.1,ml,5,105,,,us,usp000gnkd,2015-01-29T21:42:42.950Z,"Nevada",earthquake,,,,,reviewed,ren,ren
2008-10-27T05:41:46.560Z,39.453,-119.415,8.6,3.5,ml,19,54.3,,,us,usp000gm47,2014-11-07T01:37:32.814Z,"Nevada",earthquake,,,,,reviewed,ren,ren
